last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
Moreta, Dauri,664294,CIN,SIFT,Sinker,2.8,4,154,25.1,42,0.378,0.865,0.551,18.9,9.5,17.4,0.338,0.671,0.46,63.6
Winckowski, Josh,670174,BOS,FF,4-Seamer,1.9,3,154,12.9,42,0.278,0.417,0.307,16.4,16.7,10.4,0.229,0.346,0.284,37.5
Schmidt, Clarke,657376,NYY,FF,4-Seamer,1.6,2,150,16.1,42,0.359,0.59,0.421,15.5,14.3,14.6,0.32,0.521,0.378,38.2
López, Pablo,641154,MIA,CUKC,Curveball,-0.7,-2,235,8.1,42,0.095,0.095,0.086,39,42.9,15.4,0.133,0.195,0.142,20.8
Shreve, Chasen,592741,NYM,FS,Splitter,-0.2,0,176,37.1,42,0.128,0.231,0.192,42.5,45.2,21.6,0.161,0.221,0.205,30
Almonte, Yency,622075,LAD,SIFT,Sinker,-0.1,0,158,33.9,42,0.281,0.406,0.404,25.7,9.5,21.1,0.271,0.394,0.388,32.1
Floro, Dylan,571670,MIA,CH,Changeup,-0.3,0,130,15.1,42,0.275,0.425,0.32,18.8,9.5,13.3,0.328,0.524,0.384,44.4
Cisnero, José,542585,DET,FF,4-Seamer,-1.2,-2,154,35.8,41,0.179,0.25,0.349,30.6,29.3,19.7,0.209,0.278,0.368,31.3
Naughton, Packy,676050,STL,CH,Changeup,0.1,0,142,25.3,41,0.275,0.4,0.302,35.6,24.4,20,0.217,0.331,0.248,30
Alexander, Tyler,641302,DET,SL,Slider,-0.5,-1,173,10.9,41,0.15,0.325,0.221,16.7,14.6,9.8,0.264,0.556,0.353,40
Szapucki, Thomas,663378,SF,FF,4-Seamer,2.7,5,177,60.8,41,0.343,0.886,0.534,18,19.5,16.7,0.284,0.659,0.442,55.6
O'Day, Darren,503285,ATL,FF,4-Seamer,-0.2,0,168,43.6,41,0.189,0.297,0.24,34.7,46.3,25.7,0.132,0.203,0.188,26.3
Graterol, Brusdar,660813,LAD,SL,Slider,-0.7,-1,130,19.3,41,0.158,0.342,0.216,38.6,46.3,27.9,0.193,0.39,0.256,42.9
Bradish, Kyle,680694,BAL,CH,Changeup,-0.8,-1,170,8.5,41,0.211,0.342,0.254,22.5,22,20.5,0.241,0.348,0.287,43.3
Jefferies, Daulton,641726,OAK,CH,Changeup,-1.1,-1,122,20,41,0.256,0.308,0.271,26.4,17.1,19.4,0.256,0.304,0.268,25
Bañuelos, Manny,544365,PIT,SL,Slider,2.2,4,164,22.8,41,0.276,0.414,0.459,28.8,17.1,10.4,0.318,0.424,0.435,36.4
Tinoco, Jesus,622786,TEX,SIFT,Sinker,-0.4,-1,153,43.7,41,0.219,0.375,0.303,14.9,14.6,19.4,0.238,0.437,0.366,40.7
Sánchez, Cristopher,650911,PHI,CH,Changeup,0.1,0,133,20.1,41,0.184,0.289,0.24,29.8,34.1,23.3,0.19,0.33,0.258,16.7
Norwood, James,656803,PHI,FS,Splitter,0.9,1,151,40.8,41,0.27,0.297,0.318,42.7,36.6,23.1,0.196,0.251,0.243,36.4
Strahm, Matt,621381,BOS,CUKC,Curveball,-1.1,-1,130,17,41,0.135,0.324,0.24,20.3,31.7,17.8,0.182,0.371,0.279,41.7
Knebel, Corey,608349,PHI,CUKC,Curveball,2.7,6,216,27.2,41,0.237,0.316,0.296,31.8,24.4,14.1,0.246,0.325,0.282,21.4
Bassitt, Chris,605135,NYM,CH,Changeup,2.5,4,175,6.1,41,0.316,0.579,0.402,17.5,9.8,12.9,0.279,0.412,0.329,35.3
Hunter, Tommy,488984,NYM,FC,Cutter,-1.9,-3,164,47,41,0.171,0.343,0.278,31.1,36.6,27.3,0.199,0.463,0.333,42.9
Effross, Scott,664123,NYY,CH,Changeup,-5.9,-7,119,14.6,41,0.077,0.077,0.105,28.2,24.4,24.4,0.161,0.216,0.181,23.3
Germán, Domingo,593334,NYY,SIFT,Sinker,0,0,132,12.2,41,0.206,0.441,0.353,9,12.2,19.2,0.258,0.552,0.407,51.7
Steckenrider, Drew,608716,SEA,FF,4-Seamer,0.4,1,186,65,41,0.333,0.528,0.41,20.2,14.6,11.1,0.36,0.617,0.453,46.7
Moore, Matt,519043,TEX,CH,Changeup,-2,-4,210,16.8,40,0.111,0.139,0.169,45.7,37.5,22.4,0.143,0.254,0.224,19
Allard, Kolby,663465,TEX,FF,4-Seamer,1.2,2,159,53.2,40,0.278,0.583,0.395,29.4,27.5,24.4,0.292,0.51,0.381,40
Puk, A.J.,640462,OAK,SIFT,Sinker,0.6,1,149,13.9,40,0.267,0.3,0.346,17.5,7.5,23.1,0.259,0.292,0.339,17.2
Kaprielian, James,621076,OAK,SIFT,Sinker,-3.3,-4,122,5.5,40,0.158,0.211,0.188,10.4,7.5,12.5,0.295,0.493,0.356,40
Swanson, Erik,657024,SEA,SL,Slider,0.8,1,174,19.8,40,0.359,0.538,0.396,30.3,27.5,17.7,0.274,0.371,0.291,32.1
